comment_text,is_toxic
How would you apply this in industry?,0
Really opened my eyes to a new perspective,0
Classic example of the blind leading the blind,1
Would this work with a larger dataset?,0
I see where you're coming from but I'm not convinced,0
This is sick! Love it,0
"Fair points, but the evidence is a bit thin",0
Sharing this with everyone I know,0
I'm impressed by how consistently wrong you manage to be,1
Would this work with a larger dataset?,0
This take is fire,0
This deserves way more views,0
How long did it take to put this together?,0
I'd have liked to see more data backing up the claims,0
"Decent overview, though it skips some nuance",0
What are the limitations of this method?,0
Top quality as always,0
"Unreal, this blew my mind",0
The analogy at the start doesn't quite hold up,0
"A useful introduction, though experts might find it basic",0
What a disgrace of a video,1
Has this been peer reviewed?,0
Genuinely top-notch content,0
I think the video oversimplifies things a bit,0
I think the concept oversimplifies things a bit,0
Cringe doesn't even begin to describe this,1
How would you apply this in industry?,0
"Bless your heart, thinking you're an expert",1
"Superb work, keep it up",0
Has anyone tried this approach?,0
Does the order of the steps matter here?,0
"Short, sweet and incredibly impressive",0
This is sick! Love it,0
Worth watching but take the stats with a pinch of salt,0
Imagine being a fan of this absolute drivel,1
One of the best explanations I've seen on the explanation,0
I think the truth is somewhere in the middle,0
"Short, sweet and incredibly engaging",0
Pure trash content from a trash creator,1
You're a joke and so is the idea,1
I think the truth is somewhere in the middle,0
"This guy is dangerous, knows too much",0
You're not qualified to talk about anything,1
I've seen better analysis from a five-year-old,1
"This made my day, genuinely wonderful",0
This is a good start but needs more depth,0
I'm dead so funny,0
"Fair points, but the evidence is a bit thin",0
I agree with the general thrust but not the specifics,0
Has this been peer reviewed?,0
How would you apply this in industry?,0
More of this please,0
"You're so close to getting it, and yet so far",1
How long did it take to put this together?,0
"Not bad, though the pacing could be better",0
More of this please,0
I wish my lecturers explained things this well,0
Tell me you don't understand the topic without telling me you don't understand the topic,1
Not my favourite but I can see why people like it,0
I'd recommend reading the original paper alongside this,0
Does this still apply in 2024?,0
Not sure about the methodology but the conclusions seem sound,0
"Decent overview, though it skips some nuance",0
I think the explanation oversimplifies things a bit,0
"Your content is worthless, stop making it",1
How would you apply this in industry?,0
Worth watching but take the stats with a pinch of salt,0
I wish my lecturers explained things this well,0
"Fair points, but the evidence is a bit thin",0
Your audience must have the IQ of a brick,1
Only complete morons would share this,1
This take is fire,0
Top quality as always,0
It's a complex issue and this does a decent job of introducing it,0
"This makes my blood boil, absolute pitiful nonsense",1
I'd recommend reading the original paper alongside this,0
This deserves way more views,0
"Really outstanding breakdown, subscribed",0
What a pathetic excuse for content,1
Would this work with a larger dataset?,0
How do you handle the edge cases here?,0
"Decent overview, though it skips some nuance",0
Where can I find the original source?,0
"Absolutely savage breakdown, loved it",0
You make hard things look easy,0
"Perfect explanation, nothing to add",0
Congratulations on the dumbest video of the year,1
Blind followers everywhere in these comments,1
"Delete this, it's embarrassingly bad",1
Anyone who subscribes to this is an idiot,1
"Charming attempt, truly",1
"Short, sweet and incredibly stellar",0
Where can I find the original source?,0
So glad I found this channel,0
Really appreciate the effort that went into the approach,0
People who think this take are brain dead,1
Bruv this goes hard,0
Has anyone tried this approach?,0
"A solid 7/10, informative but could be tighter",0
Is there a Python library for this?,0
Can someone explain the third argument?,0
This is painfully stupid to watch,1
"Really first-rate breakdown, subscribed",0
"Short, sweet and incredibly first-rate",0
"Yo this is mental, so good",0
"Great video, really enjoyed the tutorial",0
"Perfect explanation, nothing to add",0
"Absolutely great, well done",0
Bruv this goes hard,0
Bruv this goes hard,0
You and everyone who thinks like you are the problem,1
How is this allowed on the platform? Pure garbage,1
Cringe doesn't even begin to describe this,1
How would you apply this in industry?,0
I'm obsessed with this channel,0
"Bookmarking this for later, so impressive",0
More of this please,0
Good effort but there are factual errors at 3:20,0
I've seen better analysis from a five-year-old,1
The first half was stronger than the second,0
I agree with the general thrust but not the specifics,0
This is disgraceful and you should be ashamed,1
What's the name of the technique at 5:30?,0
Where can I find the original source?,0
"Superb work, keep it up",0
Rage bait from someone with zero talent,1
"Can't believe this is free, solid work",0
"Simple and effective, just what I wanted",0
Does anyone have a link to the paper mentioned?,0
You'd have to be deluded to find this convincing,1
Goated content right here,0
Top quality as always,0
This is a good start but needs more depth,0
Classic example of the blind leading the blind,1
"Hats off, this was fantastic",0
"So well produced, really first-rate",0
The first half was stronger than the second,0
Could do with a follow-up covering the counterpoints,0
"Nah this is too good, I'm screaming",0
Does this still apply in 2024?,0
I think the idea oversimplifies things a bit,0
"Sure, let's just ignore every expert and listen to you instead",1
Would this work with a larger dataset?,0
"This makes my blood boil, absolute embarrassing nonsense",1
Can you do a follow-up on this?,0
Certified banger of a video,0
How does this compare to the older method?,0
I think the discussion oversimplifies things a bit,0
Worth watching but take the stats with a pinch of salt,0
"You're killing it, keep going",0
Is there a simpler way to achieve the same result?,0
The quality of the method is top-notch,0
What would happen if you changed the assumptions?,0
"Mixed feelings on this one, some good points though",0
It's a complex issue and this does a decent job of introducing it,0
"So well produced, really lovely",0
Good effort but there are factual errors at 3:20,0
"Hmm, not sure I agree with the conclusion",0
"Wonderful work, keep it up",0
What software did you use for the visualisations?,0
"Bookmarking this for later, so top-notch",0
"Absolute brain rot, do better",1
"Ah yes, the classic take from someone who read one article",1
It's fine. Nothing groundbreaking but nothing wrong either,0
"Clear, concise and outstanding",0
I think there's a counterargument worth considering here,0
"Nah this is too good, I'm screaming",0
Is there a textbook you'd recommend on this?,0
Has anyone tried this approach?,0
It's a complex issue and this does a decent job of introducing it,0
"Interesting framing, though I'd frame it differently",0
Genuinely lovely content,0
The first half was stronger than the second,0
Can someone explain the third argument?,0
"Clear, concise and solid",0
Would appreciate a video on the mathematical foundations,0
"Bless your heart, thinking you're an expert",1
Worth watching but take the stats with a pinch of salt,0
"Really refreshing breakdown, subscribed",0
"Interesting, though I'd push back on the second point",0
What's the computational cost of this approach?,0
Is there a simpler way to achieve the same result?,0
"Simple and effective, just what I wanted",0
"This is exactly what I needed, thank you",0
Brainless influencers lapping this up as usual,1
Watching this alongside Alex's video gives a fuller picture,0
"Short, sweet and incredibly insightful",0
This channel is a hidden gem,0
Bruv this goes hard,0
"A solid 7/10, informative but could be tighter",0
People like you are what's wrong with this platform,1
I think the tutorial oversimplifies things a bit,0
Does the order of the steps matter here?,0
How would you apply this in industry?,0
"Yo this is mental, so good",0
The quality of the theory is refreshing,0
You make hard things look easy,0
Some of these claims need better sourcing,0
"Unreal, this blew my mind",0
Really opened my eyes to a new perspective,0
This destroys the competition,0
I'd love to see a debate between you and Reese on this,0
This is a good start but needs more depth,0
"You murdered that explanation, well done",0
Your lot wouldn't know quality if it hit you,1
Shut up nobody asked for your opinion,1
I agree with the general thrust but not the specifics,0
"So well produced, really brilliant",0
Is there a textbook you'd recommend on this?,0
This is dire and you should be ashamed,1
Could do with a follow-up covering the counterpoints,0
Can someone explain the third argument?,0
Must be nice to have that level of confidence with that level of knowledge,1
Your lot wouldn't know quality if it hit you,1
"This gave me brain damage, genuinely atrocious",1
Some of these claims need better sourcing,0
Nasty in the best way possible,0
"How delightful, another uninformed hot take",1
Really appreciate the effort that went into the tutorial,0
You make hard things look easy,0
You're living proof that anyone can make a video,1
Only complete morons would share this,1
"Amazing work, keep it up",0
Blind followers everywhere in these comments,1
How long did it take to put this together?,0
Disgusting how good this is,0
"You're so close to getting it, and yet so far",1
Really appreciate the effort that went into the theory,0
What are the limitations of this method?,0
Pure trash content from a trash creator,1
Not sure about the methodology but the conclusions seem sound,0
People like you are what's wrong with this platform,1
Classic example of the blind leading the blind,1
It's adorable that you think this is insightful,1
Nasty in the best way possible,0
"A solid 7/10, informative but could be tighter",0
"Decent overview, though it skips some nuance",0
This is a good start but needs more depth,0
What are the limitations of this method?,0
Does this still apply in 2024?,0
This is an insult to anyone with a brain,1
"Well explained, helped me a lot",0
"So well produced, really impressive",0
I agree with the general thrust but not the specifics,0
Certified banger of a video,0
You're a legend for this,0
Someone clearly didn't do their research before hitting record,1
Not my favourite but I can see why people like it,0
What would happen if you changed the assumptions?,0
Someone clearly didn't do their research before hitting record,1
"This made my day, genuinely refreshing",0
"Unreal, this blew my mind",0
"Bookmarking this for later, so lovely",0
Certified banger of a video,0
You and everyone who thinks like you are the problem,1
Thanks for making the breakdown so clear,0
"A useful introduction, though experts might find it basic",0
Does anyone have a link to the paper mentioned?,0
Not sure about the methodology but the conclusions seem sound,0
This has big 'I did my own research' energy,1
Utter fool speaking with unearned confidence,1
You and your followers are delusional,1
It's always the clueless ones who shout loudest,1
You should be embarrassed to have posted this,1
"Can't believe this is free, excellent work",0
The fact that subscribers watch this says everything,1
I think the theory oversimplifies things a bit,0
"Clear, concise and lovely",0
I'm obsessed with this channel,0
Would this work with a larger dataset?,0
"Simple and effective, just what I wanted",0
If you agree with the content you need help,1
Worst content I've ever wasted my time on,1
Loved every minute of the point,0
"Your confidence is really something, given the quality of this take",1
Does this still apply in 2024?,0
Everyone in the comments praising this is brain dead,1
How is this allowed on the platform? Pure garbage,1
"You're killing it, keep going",0
I think the truth is somewhere in the middle,0
Anyone know if Charlie has responded to this?,0
"You murdered that explanation, well done",0
What happens if the data is noisy?,0
How would you apply this in industry?,0
This attracts the most gullible followers imaginable,1
Is there a Python library for this?,0
"Not everyone should share their opinions publicly, just saying",1
Worth watching but take the stats with a pinch of salt,0
What's the computational cost of this approach?,0
How is this allowed on the platform? Pure garbage,1
Thanks for making the breakdown so clear,0
"A useful introduction, though experts might find it basic",0
Has this been peer reviewed?,0
Has anyone tried this approach?,0
Can someone ELI5 the part about the logic?,0
This destroys the competition,0
How does someone this clueless have a platform?,1
"Decent overview, though it skips some nuance",0
"Fair enough, but what about the other side?",0
How does this compare to the older method?,0
I wish my lecturers explained things this well,0
Can someone ELI5 the part about the approach?,0
"Yo this is mental, so good",0
"Engaging work, keep it up",0
"This is exactly what I needed, thank you",0
"Really amazing breakdown, subscribed",0
Certified banger of a video,0
What a shocking waste of bandwidth,1
I think there's a counterargument worth considering here,0
This channel is a magnet for idiots,1
This channel is a hidden gem,0
"Your confidence is really something, given the quality of the explanation",1
"Interesting framing, though I'd frame it differently",0
What would happen if you changed the assumptions?,0
What would happen if you changed the assumptions?,0
Can someone explain the third argument?,0
What a embarrassing excuse for content,1
I'm obsessed with this channel,0
"Thoughtful work, keep it up",0
What happens if the data is noisy?,0
What's the name of the technique at 5:30?,0
Could do with a follow-up covering the counterpoints,0
"Great video, really enjoyed the approach",0
I think the video oversimplifies things a bit,0
I'm sure you tried your best,1
"A useful introduction, though experts might find it basic",0
What happens if the data is noisy?,0
Fascinating how someone can be so wrong and so sure at the same time,1
Can someone explain the third argument?,0
"Your content is worthless, stop making it",1
Bruv this goes hard,0
This hits different honestly,0
"A useful introduction, though experts might find it basic",0
"Hmm, not sure I agree with the conclusion",0
"What a load of rubbish, waste of everyone's time",1
Top quality as always,0
"Absolutely thoughtful, well done",0
More of this please,0
Some of these claims need better sourcing,0
Would this work with a larger dataset?,0
Filthy good content,0
Thanks for making the perspective so clear,0
"Well explained, helped me a lot",0
Filthy good content,0
Clown behaviour from start to finish,1
"Perfect explanation, nothing to add",0
I disagree with the concept but interesting point,0
How embarrassing for everyone involved,1
Must be nice to have that level of confidence with that level of knowledge,1
This take is fire,0
Bruv this goes hard,0
I'm obsessed with this channel,0
How long did it take to put this together?,0
Could you share the code for this?,0
My favourite video on this subject by far,0
Can someone explain the third argument?,0
"Cracking work, keep it up",0
The first half was stronger than the second,0
The hideous takes here attract rubbish people,1
What a atrocious waste of bandwidth,1
Not my favourite but I can see why people like it,0
What software did you use for the visualisations?,0
"This guy is dangerous, knows too much",0
How do you handle the edge cases here?,0
I think this take oversimplifies things a bit,0
"A solid 7/10, informative but could be tighter",0
Showed this to my mate and they loved it too,0
One of the best explanations I've seen on the theory,0
Worth watching but take the stats with a pinch of salt,0
Anyone know if Charlie has responded to this?,0
"Reasonable take, though a bit one-sided",0
I think the theory oversimplifies things a bit,0
Would this work with a larger dataset?,0
"Not bad, though the pacing could be better",0
Disgusting how good this is,0
Massive respect for putting this together,0
What would happen if you changed the assumptions?,0
"Hmm, not sure I agree with the conclusion",0
How do you handle the edge cases here?,0
Rage bait from someone with zero talent,1
Watching this alongside Sam's video gives a fuller picture,0
Thanks for making the video so clear,0
Would appreciate a video on the mathematical foundations,0
Nasty in the best way possible,0
Clown behaviour from start to finish,1
"Yo this is mental, so good",0
"This is exactly what I needed, thank you",0
"Yo this is mental, so good",0
"Nah this is too good, I'm screaming",0
"A solid 7/10, informative but could be tighter",0
"I learned so much from the argument, cheers",0
Good effort but there are factual errors at 3:20,0
"Absolutely savage breakdown, loved it",0
"Congratulations, you've assembled the worst fanbase online",1
Disgusting how good this is,0
Watching this alongside Morgan's video gives a fuller picture,0
Finally someone explains the content properly,0
Does this still apply in 2024?,0
What happens if the data is noisy?,0
You're a legend for this,0
Finally someone explains the concept properly,0
Maybe stick to topics you actually understand,1
Sharing this with everyone I know,0
Does anyone have a link to the paper mentioned?,0
"Absolutely thoughtful, well done",0
This is a good start but needs more depth,0
How long did it take to put this together?,0
Genuinely top-notch content,0
What's the computational cost of this approach?,0
Does the order of the steps matter here?,0
Not sure about the methodology but the conclusions seem sound,0
Can someone explain the third argument?,0
"This guy is dangerous, knows too much",0
Bold of you to assume you're qualified to discuss this,1
Goated content right here,0
"Congratulations, you've assembled the worst fanbase online",1
Would appreciate a video on the mathematical foundations,0
Would this work with a larger dataset?,0
"You've earned a subscriber, amazing stuff",0
This is a good start but needs more depth,0
Showed this to my mate and they loved it too,0
How does someone this clueless have a platform?,1
"A solid 7/10, informative but could be tighter",0
How long did it take to put this together?,0
Absolutely wicked content,0
What a horrendous waste of bandwidth,1
It's a complex issue and this does a decent job of introducing it,0
How does this compare to the older method?,0
"Wow, what a unique and special take nobody has ever had before",1
The fact that posters watch this says everything,1
Disgusting how good this is,0
Is there a textbook you'd recommend on this?,0
"This is excellent, thanks for sharing",0
Filthy good content,0
"The best content on this platform, honestly",0
How does someone this clueless have a platform?,1
"You murdered that explanation, well done",0
"Great work, keep it up",0
It's adorable that you think this is insightful,1
You're a legend for this,0
I feel dumber for having watched this,1
Disgusting how good this is,0
"Nah this is too good, I'm screaming",0
"This is one perspective, there are others worth exploring",0
More of this please,0
"Really stellar breakdown, subscribed",0
I'd have liked to see more data backing up the claims,0
Top quality as always,0
Is there a Python library for this?,0
The first half was stronger than the second,0
It's fine. Nothing groundbreaking but nothing wrong either,0
Not my favourite but I can see why people like it,0
Showed this to my mate and they loved it too,0
I'd love to see a debate between you and Dakota on this,0
How do you handle the edge cases here?,0
You're a legend for this,0
How long did it take to put this together?,0
It's a complex issue and this does a decent job of introducing it,0
The first half was stronger than the second,0
Everyone in the comments praising this is brain dead,1
"You murdered that explanation, well done",0
Does this still apply in 2024?,0
"This is exactly what I needed, thank you",0
It's a complex issue and this does a decent job of introducing it,0
Really appreciate the effort that went into this,0
Really opened my eyes to a new perspective,0
Filthy good content,0
I'm dead so funny,0
Imagine being a fan of this absolute drivel,1
I'd have liked to see more data backing up the claims,0
"No cap, this slaps",0
"The best content on this platform, honestly",0
Would appreciate a video on the mathematical foundations,0
What happens if the data is noisy?,0
"Really wonderful breakdown, subscribed",0
How does this compare to the older method?,0
Spoken like someone who has never read a book,1
This destroys the competition,0
Does this still apply in 2024?,0
"Sure, let's just ignore every expert and listen to you instead",1
It's a complex issue and this does a decent job of introducing it,0
"You're killing it, keep going",0
Certified banger of a video,0
This channel is a hidden gem,0
Loved every minute of the discussion,0
Every second of this was abysmal,1
Watching this alongside Hayden's video gives a fuller picture,0
My favourite video on this subject by far,0
"Reasonable take, though a bit one-sided",0
I think the truth is somewhere in the middle,0
The idiots who liked this should be ashamed,1
I love how you present misinformation with such conviction,1
I see where you're coming from but I'm not convinced,0
"Short, sweet and incredibly top-notch",0
I think there's a counterargument worth considering here,0
Showed this to my mate and they loved it too,0
Congratulations on the dumbest video of the year,1
"Fair enough, but what about the other side?",0
"How delightful, another uninformed hot take",1
"No cap, this slaps",0
I'd love to see a debate between you and Charlie on this,0
Showed this to my mate and they loved it too,0
This is a good start but needs more depth,0
Worth watching but take the stats with a pinch of salt,0
Thanks for making the analysis so clear,0
"This is exactly what I needed, thank you",0
"Yo this is mental, so good",0
It's a complex issue and this does a decent job of introducing it,0
What's the name of the technique at 5:30?,0
Good effort but there are factual errors at 3:20,0
Top quality as always,0
"Can't believe this is free, excellent work",0
"Simple and effective, just what I wanted",0
"Short, sweet and incredibly well-crafted",0
"Yo this is mental, so good",0
Massive respect for putting this together,0
"Bookmarking this for later, so impressive",0
"Delete this, it's embarrassingly bad",1
"The best content on this platform, honestly",0
This destroys the competition,0
Really opened my eyes to a new perspective,0
"So well produced, really solid",0
Sharing this with everyone I know,0
Has anyone tried this approach?,0
Would appreciate a video on the mathematical foundations,0
You're an absolute idiot if you believe the perspective,1
I see where you're coming from but I'm not convinced,0
"Decent overview, though it skips some nuance",0
How long did it take to put this together?,0
You're a legend for this,0
I think the method oversimplifies things a bit,0
"I learned so much from the concept, cheers",0
"This is refreshing, thanks for sharing",0
Would appreciate a video on the mathematical foundations,0
"Insane quality, absolutely nuts",0
Goated content right here,0
Does the order of the steps matter here?,0
I'm sure you tried your best,1
I think there's a counterargument worth considering here,0
I think the truth is somewhere in the middle,0
What are the limitations of this method?,0
"Really wonderful breakdown, subscribed",0
"This made my day, genuinely solid",0
This deserves way more views,0
"Perfect explanation, nothing to add",0
"Can't believe this is free, stellar work",0
I think there's a counterargument worth considering here,0
Finally someone explains the reasoning properly,0
I'm dead so funny,0
"Interesting framing, though I'd frame it differently",0
What software did you use for the visualisations?,0
Bruv this goes hard,0
It's fine. Nothing groundbreaking but nothing wrong either,0
Sharing this with everyone I know,0
Can you do a follow-up on this?,0
"This guy is dangerous, knows too much",0
Where can I find the original source?,0
"Interesting framing, though I'd frame it differently",0
"Oh sweetie, that's not how any of this works",1
"Unreal, this blew my mind",0
Only complete morons would share this,1
Been looking for something like this for ages,0
What are the limitations of this method?,0
"No cap, this slaps",0
You're a joke and so is this take,1
"A solid 7/10, informative but could be tighter",0
"Congratulations, you've assembled the worst fanbase online",1
Anyone know if Emery has responded to this?,0
Can someone ELI5 the part about the content?,0
Rage bait from someone with zero talent,1
I'm obsessed with this channel,0
Is there a simpler way to achieve the same result?,0
"Short, sweet and incredibly lovely",0
Been looking for something like this for ages,0
Imagine being a fan of this absolute drivel,1
Really opened my eyes to a new perspective,0
More of this please,0
"This guy is dangerous, knows too much",0
Not my favourite but I can see why people like it,0
Is there a Python library for this?,0
This channel is a hidden gem,0
"Mixed feelings on this one, some good points though",0
Really appreciate the effort that went into the reasoning,0
"The best content on this platform, honestly",0
One of the best explanations I've seen on the video,0
This deserves way more views,0
Has this been peer reviewed?,0
Shut up nobody asked for your opinion,1
"Unreal, this blew my mind",0
Bruv this goes hard,0
Classic example of the blind leading the blind,1
This is so bad it must be satire,1
I'm dead so funny,0
Not my favourite but I can see why people like it,0
This is a good start but needs more depth,0
"Not bad, though the pacing could be better",0
"Congratulations, you've assembled the worst fanbase online",1
"This is exactly what I needed, thank you",0
More of this please,0
"No cap, this slaps",0
"Fair enough, but what about the other side?",0
I think the method oversimplifies things a bit,0
"I keep coming back to the tutorial, just top-notch",0
Can someone explain the third argument?,0
"Stop it, this is too good",0
"So well produced, really lovely",0
"So well produced, really fantastic",0
I'm sure you tried your best,1
Is there a Python library for this?,0
"Interesting framing, though I'd frame it differently",0
This is an insult to anyone with a brain,1
Brainless influencers lapping this up as usual,1
"Your content is worthless, stop making it",1
Goated content right here,0
I'm obsessed with this channel,0
"Gullible fools, every single one of you",1
"Can't believe this is free, well-crafted work",0
You make hard things look easy,0
People like you are what's wrong with this platform,1
"A useful introduction, though experts might find it basic",0
"Absolutely savage breakdown, loved it",0
This deserves way more views,0
"A solid 7/10, informative but could be tighter",0
I agree with the general thrust but not the specifics,0
What software did you use for the visualisations?,0
"You've earned a subscriber, stellar stuff",0
What software did you use for the visualisations?,0
"So well produced, really fantastic",0
"So well produced, really engaging",0
More of this please,0
I'm obsessed with this channel,0
"This makes my blood boil, absolute disgraceful nonsense",1
"Nuanced topic, hard to cover in one video",0
More of this please,0
"The best content on this platform, honestly",0
This has big 'I did my own research' energy,1
Filthy good content,0
Nasty in the best way possible,0
Could you share the code for this?,0
"Ah yes, the classic take from someone who read one article",1
This is a good start but needs more depth,0
Your audience must have the IQ of a brick,1
Your lot wouldn't know quality if it hit you,1
Not sure about the methodology but the conclusions seem sound,0
How long did it take to put this together?,0
Is there a simpler way to achieve the same result?,0
"Gullible fools, every single one of you",1
"Hats off, this was solid",0
Really appreciate the effort that went into the theory,0
I'm obsessed with this channel,0
What's the computational cost of this approach?,0
"Simple and effective, just what I wanted",0
Anyone defending this take is part of the problem,1
Could do with a follow-up covering the counterpoints,0
"This guy is dangerous, knows too much",0
"Mixed feelings on this one, some good points though",0
"A solid 7/10, informative but could be tighter",0
Could do with a follow-up covering the counterpoints,0
Does the order of the steps matter here?,0
